PF00584	PF00890
PF00585	PF00891
PF00586	PF00892
PF00587	PF00899
PF00588	PF00903
PF00590	PF00916
PF00591	PF00920
PF00595	PF00923
PF00596	PF00924
PF00610	PF00925
PF00611	PF00926
PF00612	PF00928
PF00613	PF00929
PF00614	PF00930
PF00615	PF00931
PF00616	PF00933
PF00617	PF00935
PF00618	PF00939
PF00620	PF00940
PF00621	PF00941
PF00622	PF00953
PF00623	PF00955
PF00625	PF00956
PF00626	PF00957
PF00627	PF00958
PF00628	PF01025
PF00631	PF01040
PF00632	PF01041
PF00635	PF01042
PF00636	PF01048
PF00637	PF01053
PF00638	PF01055
PF00639	PF01058
PF00641	PF01061
PF00642	PF01062
PF00644	PF01063
PF00645	PF01066
PF00646	PF01067
PF00647	PF01068
PF00648	PF01070
PF00649	PF01071
PF00650	PF01073
PF00651	PF01074
PF00653	PF01077
PF00654	PF01083
PF00656	PF01084
PF00657	PF01086
PF00658	PF01088
PF00664	PF01090
PF00667	PF01092
PF00668	PF01095
PF00672	PF01096
PF00673	PF01111
PF00675	PF01112
PF00676	PF01115
PF00677	PF01116
PF00679	PF01118
PF00682	PF01119
PF00684	PF01120
PF00685	PF01121
PF00686	PF01124
PF00687	PF01125
PF00689	PF01127
PF00690	PF01135
PF00692	PF01137
PF00694	PF01180
PF00696	PF01182
PF00697	PF01184
PF00698	PF01185
PF00699	PF01187
PF00701	PF01188
PF00702	PF01189
PF00703	PF01191
PF00704	PF01192
PF00705	PF01195
PF00707	PF01196
PF00708	PF01198
PF00709	PF01199
PF00710	PF01200
PF00717	PF01201
PF00719	PF01202
PF00722	PF01204
PF00723	PF01205
PF00724	PF01207
PF00725	PF01208
PF00728	PF01209
PF00730	PF01210
PF00731	PF01212
PF00732	PF01213
PF00733	PF01214
PF00734	PF01215
PF00735	PF01217
PF00736	PF01220
PF00742	PF01221
PF00743	PF01222
PF00746	PF01223
PF00749	PF01226
PF00750	PF01227
PF00752	PF01230
PF00753	PF01231
PF00754	PF01232
PF00755	PF01233
PF00756	PF01237
PF00762	PF01238
PF00763	PF01239
PF00764	PF01244
PF00766	PF01246
PF00773	PF01248
PF00775	PF01249
PF00780	PF01250
PF00781	PF01251
PF00782	PF01253
PF00786	PF01255
PF00787	PF01256
PF00788	PF01259
PF00789	PF01263
PF00790	PF01265
PF00792	PF01266
PF00793	PF01268
PF00795	PF01274
PF00797	PF01280
PF00800	PF01282
PF00804	PF01283
PF00806	PF01284
PF00808	PF01287
PF00809	PF01288
PF00810	PF01293
PF00814	PF01300
PF00815	PF01301
PF00817	PF01302
PF00827	PF01315
PF00828	PF01321
PF00830	PF01323
PF00831	PF01326
PF00832	PF01328
PF00833	PF01329
PF00834	PF01336
PF00838	PF01357
PF00840	PF01380
PF00848	PF01381
PF00849	PF01384
PF00850	PF01388
PF00854	PF01391
PF00855	PF01393
PF00856	PF01394
PF00857	PF01398
PF00860	PF01399
PF00861	PF01406
PF00867	PF01408
PF00871	PF01409
PF00875	PF01411
PF00881	PF01412
PF00884	PF01416
PF00885	PF01417
PF00886	PF01419
PF00887	PF01422
PF00888	PF01423
PF00890	PF01424
PF00891	PF01425
PF00892	PF01426
PF00899	PF01428
PF00900	PF01447
PF00903	PF01450
PF00909	PF01451
PF00916	PF01453
PF00917	PF01459
PF00920	PF01465
PF00923	PF01466
PF00924	PF01467
PF00925	PF01469
PF00926	PF01472
PF00928	PF01474
PF00929	PF01476
PF00930	PF01479
PF00931	PF01480
PF00933	PF01483
PF00935	PF01501
PF00939	PF01502
PF00940	PF01503
PF00941	PF01504
PF00953	PF01507
PF00955	PF01509
PF00956	PF01512
PF00957	PF01513
PF00958	PF01521
PF00962	PF01522
PF00970	PF01529
PF00975	PF01532
PF00977	PF01536
PF00982	PF01541
PF00984	PF01544
PF00988	PF01545
PF00989	PF01546
PF00994	PF01553
PF00995	PF01554
PF00996	PF01556
PF00999	PF01557
PF01000	PF01566
PF01008	PF01569
PF01012	PF01575
PF01014	PF01576
PF01015	PF01595
PF01016	PF01602
PF01018	PF01603
PF01019	PF01608
PF01020	PF01624
PF01025	PF01625
PF01026	PF01627
PF01027	PF01634
PF01028	PF01636
PF01031	PF01641
PF01035	PF01645
PF01036	PF01648
PF01039	PF01650
PF01040	PF01652
PF01041	PF01661
PF01042	PF01663
PF01048	PF01667
PF01053	PF01670
PF01055	PF01676
PF01058	PF01679
PF01061	PF01680
PF01062	PF01687
PF01063	PF01693
PF01066	PF01694
PF01067	PF01699
PF01068	PF01702
PF01070	PF01704
PF01071	PF01709
PF01073	PF01715
PF01074	PF01717
PF01077	PF01730
PF01083	PF01731
PF01084	PF01734
PF01086	PF01735
PF01087	PF01738
PF01088	PF01747
PF01090	PF01753
PF01092	PF01779
PF01095	PF01798
PF01096	PF01814
PF01103	PF01822
PF01105	PF01823
